iter	Passed	Remaining
468	1814	2370
469	1817	2366
470	1821	2362
471	1825	2358
472	1828	2354
473	1832	2350
474	1836	2346
475	1839	2342
476	1843	2338
477	1847	2334
478	1851	2330
479	1854	2326
480	1858	2322
481	1862	2318
482	1865	2313
483	1869	2309
484	1873	2305
485	1876	2301
486	1880	2297
487	1884	2293
488	1888	2289
489	1891	2285
490	1895	2281
491	1899	2277
492	1902	2273
493	1906	2269
494	1910	2265
495	1913	2260
496	1917	2256
497	1921	2252
498	1924	2248
499	1928	2244
500	1931	2240
501	1935	2236
502	1939	2232
503	1943	2228
504	1946	2224
505	1950	2220
506	1954	2216
507	1958	2212
508	1961	2208
509	1965	2204
510	1969	2200
511	1972	2196
512	1976	2192
513	1980	2188
514	1983	2184
515	1987	2180
516	1991	2176
517	1994	2172
518	1998	2168
519	2002	2164
520	2006	2160
521	2010	2156
522	2013	2152
523	2017	2148
524	2021	2144
525	2025	2140
526	2028	2136
527	2032	2132
528	2036	2128
529	2040	2124
530	2043	2120
531	2047	2116
532	2051	2112
533	2055	2108
534	2058	2105
535	2062	2100
536	2066	2097
537	2070	2093
538	2073	2089
539	2077	2085
540	2081	2081
541	2085	2077
542	2088	2073
543	2092	2069
544	2096	2065
545	2099	2061
546	2103	2057
547	2107	2053
548	2111	2049
549	2114	2045
550	2118	2041
551	2122	2037
552	2126	2033
553	2129	2029
554	2133	2026
555	2137	2022
556	2141	2018
557	2145	2014
558	2149	2010
559	2152	2006
560	2156	2002
561	2160	1999
562	2164	1995
563	2168	1991
564	2171	1987
565	2175	1983
566	2179	1979
567	2182	1975
568	2186	1971
569	2190	1967
570	2193	1963
571	2197	1959
572	2201	1955
573	2204	1951
574	2208	1947
575	2212	1943
576	2216	1939
577	2219	1935
578	2223	1931
579	2226	1927
580	2230	1923
581	2234	1919
582	2238	1915
583	2241	1911
584	2245	1907
585	2248	1903
586	2252	1899
587	2256	1895
588	2260	1892
589	2264	1888
590	2267	1884
591	2271	1880
592	2275	1876
593	2279	1872
594	2283	1868
595	2286	1864
596	2290	1860
597	2294	1856
598	2297	1852
599	2301	1848
600	2305	1844
601	2308	1840
602	2312	1836
603	2316	1832
604	2319	1829
605	2323	1825
606	2327	1821
607	2330	1817
608	2334	1813
609	2338	1809
610	2341	1805
611	2345	1801
612	2349	1797
613	2353	1793
614	2357	1789
615	2360	1785
616	2364	1782
617	2368	1778
618	2372	1774
619	2375	1770
620	2379	1766
621	2383	1762
622	2387	1758
623	2391	1755
624	2394	1751
625	2398	1747
626	2402	1743
627	2405	1739
628	2409	1735
629	2413	1731
630	2416	1727
631	2420	1723
632	2424	1719
633	2427	1715
634	2431	1711
635	2435	1707
636	2439	1703
637	2442	1700
638	2446	1696
639	2450	1692
640	2453	1688
641	2457	1684
642	2461	1680
643	2465	1676
644	2468	1672
645	2472	1668
646	2476	1664
647	2480	1661
648	2483	1657
649	2487	1653
650	2490	1649
651	2494	1645
652	2498	1641
653	2501	1637
654	2505	1633
655	2509	1629
656	2512	1625
657	2516	1621
658	2520	1617
659	2523	1613
660	2527	1609
661	2531	1606
662	2535	1602
663	2539	1598
664	2542	1594
665	2546	1590
666	2550	1586
667	2553	1582
668	2557	1578
669	2561	1575
670	2565	1571
671	2568	1567
672	2572	1563
673	2576	1559
674	2579	1555
675	2583	1551
676	2587	1547
677	2591	1543
678	2594	1540
679	2598	1536
680	2602	1532
681	2606	1528
682	2609	1524
683	2614	1521
684	2617	1517
685	2621	1513
686	2625	1509
687	2629	1505
688	2632	1501
689	2636	1497
690	2640	1494
691	2644	1490
692	2647	1486
693	2651	1482
694	2655	1478
695	2659	1474
696	2663	1470
697	2666	1467
698	2670	1463
699	2673	1459
700	2677	1455
701	2681	1451
702	2685	1447
703	2689	1443
704	2692	1440
705	2696	1436
706	2700	1432
707	2704	1428
708	2707	1424
709	2711	1420
710	2715	1416
711	2718	1412
712	2722	1409
713	2726	1405
714	2730	1401
715	2734	1397
716	2737	1393
717	2741	1389
718	2745	1386
719	2749	1382
720	2753	1378
721	2757	1374
722	2760	1370
723	2764	1367
724	2768	1363
725	2772	1359
726	2775	1355
727	2779	1351
728	2783	1347
729	2786	1343
730	2790	1339
731	2793	1335
732	2797	1332
733	2801	1328
734	2805	1324
735	2808	1320
736	2812	1316
737	2816	1312
738	2819	1308
739	2823	1304
740	2827	1301
741	2830	1297
742	2834	1293
743	2838	1289
744	2842	1285
745	2845	1281
746	2849	1277
747	2853	1274
748	2856	1270
749	2860	1266
750	2864	1262
751	2867	1258
752	2871	1254
753	2875	1250
754	2879	1246
755	2882	1243
756	2886	1239
757	2890	1235
758	2893	1231
759	2897	1227
760	2901	1223
761	2905	1219
762	2908	1216
763	2912	1212
764	2916	1208
765	2920	1204
766	2923	1200
767	2927	1196
768	2931	1193
769	2934	1189
770	2938	1185
771	2942	1181
772	2945	1177
773	2949	1173
774	2953	1169
775	2957	1166
776	2960	1162
777	2964	1158
778	2968	1154
779	2972	1150
780	2975	1146
781	2979	1143
782	2982	1139
783	2986	1135
784	2990	1131
785	2994	1127
786	2997	1123
787	3001	1119
788	3005	1116
789	3009	1112
790	3012	1108
791	3016	1104
792	3020	1100
793	3024	1097
794	3027	1093
795	3031	1089
796	3035	1085
797	3038	1081
798	3042	1077
799	3046	1073
800	3050	1070
801	3054	1066
802	3057	1062
803	3061	1058
804	3064	1054
805	3068	1050
806	3072	1046
807	3075	1043
808	3079	1039
809	3083	1035
810	3087	1031
811	3090	1027
812	3094	1023
813	3098	1020
814	3102	1016
815	3106	1012
816	3109	1008
817	3113	1004
818	3117	1000
819	3120	997
820	3124	993
821	3128	989
822	3132	985
823	3135	981
824	3139	978
825	3143	974
826	3147	970
827	3151	966
828	3154	962
829	3158	959
830	3162	955
831	3166	951
832	3170	947
833	3174	943
834	3177	939
835	3181	936
836	3185	932
837	3188	928
838	3192	924
839	3196	920
840	3200	917
841	3203	913
842	3207	909
843	3211	905
844	3215	901
845	3218	897
846	3222	894
847	3226	890
848	3230	886
849	3234	882
850	3238	878
851	3241	875
852	3245	871
853	3249	867
854	3252	863
855	3256	859
856	3260	855
857	3263	852
858	3267	848
859	3271	844
860	3274	840
861	3278	836
862	3281	832
863	3285	828
864	3288	825
865	3292	821
866	3296	817
867	3299	813
868	3303	809
869	3307	805
870	3311	802
871	3314	798
872	3318	794
873	3322	790
874	3326	786
875	3330	783
876	3333	779
877	3337	775
878	3341	771
879	3345	767
880	3349	764
881	3352	760
882	3356	756
883	3360	752
884	3364	748
885	3368	745
886	3371	741
887	3375	737
888	3379	733
889	3383	729
890	3386	726
891	3390	722
892	3394	718
893	3398	714
894	3401	710
895	3405	706
896	3409	703
897	3413	699
898	3416	695
899	3420	691
900	3424	687
901	3428	684
902	3432	680
903	3435	676
904	3439	672
905	3443	668
906	3446	665
907	3450	661
908	3454	657
909	3458	653
910	3461	649
911	3465	645
912	3469	642
913	3472	638
914	3476	634
915	3480	630
916	3484	626
917	3488	623
918	3492	619
919	3495	615
920	3499	611
921	3503	607
922	3507	604
923	3510	600
924	3514	596
925	3518	592
926	3521	588
927	3525	585
928	3529	581
929	3533	577
930	3536	573
931	3540	569
932	3544	566
933	3548	562
934	3552	558
935	3555	554
936	3559	550
937	3563	547
938	3567	543
939	3571	539
940	3575	535
941	3578	531
942	3582	528
943	3586	524
944	3590	520
945	3594	516
946	3598	512
947	3601	509
948	3605	505
949	3609	501
950	3613	497
951	3617	493
952	3621	490
953	3625	486
954	3629	482
955	3633	478
956	3636	475
957	3640	471
958	3644	467
959	3647	463
960	3651	459
961	3655	456
962	3659	452
963	3663	448
964	3666	444
965	3670	440
966	3674	436
967	3678	433
968	3681	429
969	3684	425
970	3688	421
971	3692	417
972	3696	414
973	3699	410
974	3703	406
975	3707	402
976	3710	398
977	3714	395
978	3718	391
979	3722	387
980	3725	383
981	3729	379
982	3733	375
983	3736	372
984	3740	368
985	3744	364
986	3748	360
987	3752	356
988	3755	353
989	3759	349
990	3763	345
991	3766	341
992	3770	337
993	3774	334
994	3778	330
995	3781	326
996	3785	322
997	3789	318
998	3792	315
999	3796	311
1000	3800	307
1001	3804	303
1002	3807	299
1003	3811	296
1004	3815	292
1005	3819	288
1006	3823	284
1007	3826	280
1008	3830	277
1009	3834	273
1010	3838	269
1011	3841	265
1012	3845	261
1013	3848	258
1014	3852	254
1015	3856	250
1016	3860	246
1017	3864	242
1018	3867	239
1019	3871	235
1020	3875	231
1021	3878	227
1022	3882	223
1023	3886	220
1024	3889	216
1025	3893	212
1026	3897	208
1027	3900	204
1028	3904	201
1029	3908	197
1030	3912	193
1031	3915	189
1032	3919	185
1033	3923	182
1034	3927	178
1035	3930	174
1036	3934	170
1037	3938	166
1038	3942	163
1039	3945	159
1040	3949	155
1041	3953	151
1042	3957	147
1043	3960	144
1044	3964	140
1045	3968	136
1046	3972	132
1047	3975	128
1048	3979	125
1049	3982	121
1050	3986	117
1051	3990	113
1052	3994	109
1053	3997	106
1054	4001	102
1055	4005	98
1056	4008	94
1057	4012	91
1058	4016	87
1059	4020	83
1060	4023	79
1061	4027	75
1062	4031	72
1063	4034	68
1064	4038	64
1065	4042	60
1066	4046	56
1067	4049	53
1068	4053	49
1069	4056	45
1070	4060	41
1071	4064	37
1072	4068	34
1073	4071	30
1074	4075	26
1075	4079	22
1076	4083	18
1077	4087	15
1078	4090	11
1079	4094	7
1080	4097	3
1081	4101	0
