architecture,knobs,dataset,epsilon,split,binning,n_bins,config,source,target,fingerprint,utility_ratio,corr_mae,wasserstein_mean,discriminator_auc,mahalamia_best,v2_blackbox,v2_blackbox_grid,v2_whitebox
Star (last year's winner),,BRCA,10.0,2,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=8",e39ad05a5c8bf328,0.7934945958951456,0.1509849926339816,0.4280038783932204,1.0,0.5115179220341483,0.5673063756728004,,0.7644171520660634
Star (last year's winner),,BRCA,10.0,3,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=8",dfc6683c99089579,0.8175900734762475,0.1440892247784452,0.4332181318284945,1.0,0.5171636524505209,0.549263211114505,,0.7595772022035201
Star (last year's winner),,BRCA,10.0,1,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=16",27ed24b9b282ecf9,0.6378236475295079,0.1483963799283522,0.4416103220591177,1.0,0.526148368952696,0.5763858898871907,,0.7494654462338975
Star (last year's winner),,BRCA,10.0,2,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=16",f8bc7fd006dc5635,0.7174822198544478,0.1516193304769872,0.4284346835741069,1.0,0.5214400825793404,0.5678119634712816,,0.7755348170930808
Star (last year's winner),,BRCA,10.0,3,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=16",2bdf5308622588c4,0.7238484231366202,0.1424316309022411,0.4385100569475216,1.0,0.4996998072446518,0.5488208217908341,,0.8124269267635008
Star (last year's winner),,BRCA,10.0,1,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=32",46ad0350c39b2cf1,0.6296792482464819,0.147834324561194,0.4571087202989163,1.0,0.5273491399740886,0.5764385552828659,,0.7462844563351204
Star (last year's winner),,BRCA,10.0,2,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=32",df097179b659b612,0.68011510362171,0.1521355630300435,0.4334986274700516,1.0,0.5134086097388849,0.5708665564204384,,0.7598089299444908
Star (last year's winner),,BRCA,10.0,3,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=32",2051ff5c11f6163b,0.6407324309126641,0.141154669806938,0.4483756944838064,1.0,0.5011428390861501,0.545218508726656,,0.7609991678867483
Star (last year's winner),,BRCA,10.0,1,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,n_bins=16",c686705bf3d6a872,0.5985520448706099,0.1483080593915263,0.4179012971184683,1.0,0.5257849777225376,0.7590505482467691,,0.7646541463466014
Star (last year's winner),,BRCA,10.0,2,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,n_bins=16",9da92d4a91c6941f,0.6931171929520015,0.1509283984582619,0.418971283725271,1.0,0.511433657401068,0.7664869021160956,,0.777809962186246
Star (last year's winner),,BRCA,10.0,3,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,n_bins=16",30fa0a688f0ef687,0.6544207120366154,0.1422853034406823,0.4122598325132988,1.0,0.4978775845542927,0.7722063640864134,,0.7748554334888718
Star (last year's winner),,BRCA,10.0,1,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,n_bins=16",fc3e893e9cb3bf57,0.6814995621870189,0.1553721745482238,0.1758431521442132,0.9987039511409126,0.5307987233908088,0.7774518374956552,,0.8476495433910195
Star (last year's winner),,BRCA,10.0,2,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,n_bins=16",8153c41b9f4a4f27,0.6543640508900139,0.1549305259168046,0.1765962991514587,0.999703552063286,0.5200075838169772,0.7354933167612887,,0.8261778615742741
Star (last year's winner),,BRCA,10.0,3,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,n_bins=16",7d4b4e849af79578,0.599384811085687,0.1522859520943282,0.175709356350648,0.9997705507952268,0.4966030819789549,0.7516352605357124,,0.8661666965103909
Star (last year's winner),,BRCA,10.0,1,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,n_bins=48",fe1f1191fd6a93f9,0.5561413162025602,0.1654500882633591,2.204771083755217,1.0,0.519891719946492,0.602218266465836,,0.602218266465836
Star (last year's winner),,BRCA,10.0,2,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,n_bins=48",07985c20525a5dee,0.6412845934068009,0.1669457602677241,2.198174598746517,0.9999841458581056,0.5115179220341481,0.5929860226039878,,0.5929860226039878
Star (last year's winner),,BRCA,10.0,3,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,n_bins=48",3fb71f2172c2bf76,0.5595683222253569,0.1627263384196876,2.1314546501167904,0.9999841458581056,0.495976363770421,0.578929628498299,,0.578929628498299
Star (last year's winner),,BRCA,1000.0,1,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000",6179b5a2b412f191,0.7749660869123972,0.1383896001359272,0.2408116379733641,0.99931644676536,0.5340955771600712,0.6865460980208345,,0.7447466267814069
Star (last year's winner),,BRCA,1000.0,2,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000",4abb90ffc808038f,0.8612397127604338,0.1398977676707546,0.2202120362115635,0.9982831626016594,0.528844837211262,0.6639052444201013,,0.7217897808066231
Star (last year's winner),,BRCA,1000.0,3,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000",2f953ad91888a09d,0.8367870858351886,0.1368255178207026,0.2430958217610204,0.999004090205164,0.499815671115137,0.6872307481646109,,0.7294789285751904
Star (last year's winner),,BRCA,1000.0,1,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=8",f1ff52ec4d5a40ee,0.8378667362021069,0.1352576842378398,0.0971968959972142,0.9974188394604688,0.5323207533258197,0.8365424114431371,0.8850999062555956,0.910100169582574
Star (last year's winner),,BRCA,1000.0,2,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=8",d7d7263a4d43b02c,0.8871887073943598,0.1368925350651898,0.0882932345099905,0.9959396507457848,0.5210608917304795,0.7932672558168931,0.8594939908783534,0.8851209724138658
Star (last year's winner),,BRCA,1000.0,3,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=8",2bf4298268eedd2a,0.7776146436933026,0.1336785579700394,0.0965869082715468,0.9956845815745996,0.4927901073320764,0.7934568512413234,0.8561392051738486,0.8772316961417331
Star (last year's winner),,BRCA,1000.0,1,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=16",520304f248c5aa93,0.8588723544618141,0.1355466113524655,0.0497706424336654,0.999186167669809,0.5328842730595434,0.9446802683828563,0.9730037181769348,0.9882345506061788
Star (last year's winner),,BRCA,1000.0,2,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=16",6d49c7f76947ca45,0.9151438289847498,0.1369994051969412,0.045836962148494,0.9974017867236544,0.5214190164210704,0.9335362706580016,0.9710761646952254,0.9931692981809372
Star (last year's winner),,BRCA,1000.0,3,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=16",18235beb24dc270a,0.886136227112783,0.1337715846268463,0.0499697097791807,0.9985283433647556,0.4955971729215601,0.9137235488050222,0.9633606842288208,0.9851009595635092
Star (last year's winner),,BRCA,1000.0,1,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=32",978a0d8a17c86da9,0.8426328093407149,0.1359507300821086,0.03667951167503,0.9969917174366958,0.5322680879301446,0.9981672442305058,0.9990362232591454,1.0
Star (last year's winner),,BRCA,1000.0,2,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=32",4c139e35ea54a186,0.8755350065892203,0.138216637002569,0.0351252801980235,0.9979293319331564,0.5296874835420639,0.994217339554872,0.9999104688273524,1.0
Star (last year's winner),,BRCA,1000.0,3,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=32",3073385c477eb221,0.9131873859579462,0.1344436464700694,0.0366187876520255,0.9962165125518766,0.4955919063819927,0.9911943458431204,0.99894142554693,0.99995786768346
Star (last year's winner),,BRCA,1000.0,1,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",2def479c08e32d36,0.7834108183214293,0.1495548994268987,0.0912675332832509,0.9954684122567228,0.5322470217718746,0.8810341377094766,,0.9024215548931418
Star (last year's winner),,BRCA,1000.0,2,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",3c575bae8cf15f0b,0.8687413575777293,0.1510399760446767,0.079533734520662,0.99659883709052,0.5173163820979787,0.8827720957667555,,0.9007415287711056
Star (last year's winner),,BRCA,1000.0,3,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",a83c6dec8c979dac,0.8178847653292851,0.1479017079597671,0.0898460437226286,0.9955178406767704,0.4998788695899472,0.8564393979291965,,0.8714964345527126
Star (last year's winner),,BRCA,1000.0,1,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,epsilon=1000,n_bins=16",83ab99723271a8bd,0.8369878590342993,0.1356558713427102,0.0985525734015456,0.9919399122574036,0.5347222953686052,0.9723559338101306,,0.9877500289659676
Star (last year's winner),,BRCA,1000.0,2,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,epsilon=1000,n_bins=16",4154731800740c0e,0.8555754436633548,0.13744752685294,0.0966802361646873,0.9938421777380064,0.526127302794426,0.959689906150265,,0.9902990341166434
Star (last year's winner),,BRCA,1000.0,3,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,epsilon=1000,n_bins=16",a7eee4b726ec18d6,0.8545727067984443,0.1341016647099452,0.0968398764531301,0.9934315636351748,0.4957025037129104,0.939829785441178,,0.9857487439303132
Star (last year's winner),,BRCA,1000.0,1,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,epsilon=1000,n_bins=48",ac1cb649cb8f13ef,0.6713553579467644,0.159355244060111,1.5695988628034765,0.9998300174477284,0.5199812511191397,0.6521450615658476,,0.6521450615658476
Star (last year's winner),,BRCA,1000.0,2,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,epsilon=1000,n_bins=48",69880f930bdbdccd,0.7723829467426205,0.1622114473724354,1.574840212647066,0.9998813391029334,0.5079577412865103,0.6227156384625918,,0.6227156384625918
Star (last year's winner),,BRCA,1000.0,3,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,epsilon=1000,n_bins=48",d24e0cbb212b7ea3,0.621480397502632,0.1575470729403006,1.5658965391208894,0.9999050930749817,0.5022698785535976,0.639336837337659,,0.639336837337659
Star (last year's winner),,COMBINED,10.0,1,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold",06671f6d68384d5d,0.9096930148616716,0.1333625961011308,0.1605521972338394,0.9999989961774436,0.5096878478989827,0.535775967263646,,0.5507430202897194
Star (last year's winner),,COMBINED,10.0,2,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold",0ce3f0b14dbe7061,0.9215002948623028,0.1329425961673084,0.1459537650936274,0.9999984947014744,0.5022609881751957,0.5257400950129882,,0.5448587007759506
Star (last year's winner),,COMBINED,10.0,3,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold",647077843b734471,0.9265479205339072,0.1335003017295997,0.1626063170907131,1.0,0.4990685918887927,0.5312419554889892,,0.5452869612893951
Star (last year's winner),,COMBINED,10.0,1,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=8",96991324da3df2af,0.919617764535018,0.1272765785887583,0.1133023493512937,1.0,0.510693140142486,0.5647138076404885,,0.6011901697329138
Star (last year's winner),,COMBINED,10.0,2,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=8",682f7cbfafdf14ce,0.9157708900491964,0.1266731308397137,0.106359609714609,0.9999977431404844,0.5066375364823797,0.5602272689282121,,0.5963619586984358
Star (last year's winner),,COMBINED,10.0,3,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=8",1aafb433e73d76eb,0.9348447174199642,0.1264510727653728,0.1141210617986966,1.0,0.5036490737738075,0.556069029844509,,0.5906070199955202
Star (last year's winner),,COMBINED,10.0,2,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=16",8896889717d731e3,0.9254877630107762,0.1305220756956873,0.0985699416938202,1.0,0.508225543850734,0.6041014051357829,,0.6708405072262694
Star (last year's winner),,COMBINED,10.0,3,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=16",e20b23fb9a1f4bc2,0.9324144639739668,0.1295162856046215,0.1020749226222566,1.0,0.4983277446617878,0.608459900306569,,0.6730262739998061
Star (last year's winner),,COMBINED,10.0,1,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=16",46b4a53780457c8d,0.9122772232856232,0.1301065158789041,0.1028223900774454,1.0,0.5121965652236415,,,
Star (last year's winner),,COMBINED,10.0,1,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=32",24798fb29ddbb7e3,0.9079713769380028,0.1395489138764435,0.109113741494349,0.9999992471330827,0.5100077895940385,0.6355673532430454,,0.7242206226994788
Star (last year's winner),,COMBINED,10.0,2,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=32",e6067a24080854da,0.8980554447479059,0.1405774106823498,0.1031605338853959,1.0,0.5077023372125289,0.6234540330372397,,0.7279031282073569
Star (last year's winner),,COMBINED,10.0,3,dp_quantile,32,dp_quantile32/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,n_bins=32",d0f7ef962c7233cb,0.928451521112137,0.1380748777383829,0.1092112947102526,1.0,0.4997897143926958,0.6376224019363661,,0.7256939592199708
Star (last year's winner),,COMBINED,10.0,1,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,n_bins=16",ccdf1ee46776447b,0.9059740302600336,0.1388458526387091,0.1120892521252858,0.9999989961774436,0.5111799061905542,0.6492599885663469,,0.6510743287743592
Star (last year's winner),,COMBINED,10.0,2,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,n_bins=16",5ceef401b8aa4617,0.9300284826474952,0.1386314691780944,0.1043102137633008,0.9999992471330827,0.5040031158376154,0.6511318313569607,,0.6532938615993074
Star (last year's winner),,COMBINED,10.0,3,dp_uniform,16,dp_uniform16/star,pgm_structure_sweep,"pgm@binning=dp_uniform,edge_estimator=threshold,n_bins=16",46bede0d14382ef9,0.9090600384947132,0.1379400200091726,0.1103929945954979,1.0,0.4999939822878673,0.6425729731175427,,0.6440372830698355
Star (last year's winner),,COMBINED,10.0,1,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,n_bins=16",66b575c0d6837cae,0.8937032096485447,0.1358187039701388,0.1467915108859768,0.999610801757899,0.5126027607925996,0.6201406138735011,,0.6928074967320481
Star (last year's winner),,COMBINED,10.0,2,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,n_bins=16",8612b7395f6af8a4,0.9166431784895728,0.1355018216080222,0.1462343969611274,0.9997355297576817,0.5074666434873311,0.6281903068030236,,0.6918282812411197
Star (last year's winner),,COMBINED,10.0,3,quantile,16,quantile16/star,pgm_structure_sweep,"pgm@binning=quantile,n_bins=16",26bd6c35949762f9,0.9322629664018762,0.1355344271317096,0.1449269954960059,0.9994183377186712,0.5018380767392024,0.6243650477906639,,0.6920295402802248
Star (last year's winner),,COMBINED,10.0,1,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,n_bins=48",f27d0b2b324bbb53,0.7842328789886319,0.1688397606547761,1.1848262923312245,0.9999969885323312,0.5072964759609115,0.5569078320523406,,0.5569078320523406
Star (last year's winner),,COMBINED,10.0,2,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,n_bins=48",9728a9597040986e,0.7870958363248852,0.1684889252533493,1.1774339073362985,0.9999969885323312,0.501772550540424,0.5563281257835563,,0.5563281257835563
Star (last year's winner),,COMBINED,10.0,3,uniform,48,uniform48/star,pgm_structure_sweep,"pgm@binning=uniform,n_bins=48",2664a881fa5e4aab,0.8093888128537836,0.1686262421787859,1.167761785879588,0.9999962356654138,0.5083943741077906,0.5450191730994896,,0.5450191730994896
Star (last year's winner),,COMBINED,1000.0,1,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000",53e52fb70c03c5e1,0.9195303318547056,0.1367868076078653,0.2209856989902234,0.9999877046972668,0.5151990692605235,0.5402454557915465,,0.5442736454297148
Star (last year's winner),,COMBINED,1000.0,2,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000",f7aacf556496a138,0.9220568191291718,0.1364479296787287,0.2208284509536841,0.9999806855572804,0.5127652390201828,0.5364021436427886,,0.5418862852997323
Star (last year's winner),,COMBINED,1000.0,3,dp_quantile,4,dp_quantile4_star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000",7ec1cc6cb0e8e07b,0.9331647287794698,0.1362111700775383,0.2213497787180336,0.9999723950973566,0.5020985099476125,0.5355727023204967,,0.5389777244355887
Star (last year's winner),,COMBINED,1000.0,1,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=8",f5a35dc9367726e9,0.9439373671465044,0.1299455430600996,0.0824746895657019,0.9998590221328648,0.5158319319864801,0.5811204311356426,0.5892389934373506,0.5973863070303593
Star (last year's winner),,COMBINED,1000.0,2,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=8",c3639a33b0fc8640,0.9457017872443448,0.1298095395060998,0.0822133609053822,0.9997922611855816,0.5042909630679633,0.5757379219502736,0.5844636045427041,0.5927473196107209
Star (last year's winner),,COMBINED,1000.0,3,dp_quantile,8,dp_quantile8/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=8",f788ab17d3d4fcb1,0.9681378543200452,0.1297198741372992,0.0827189033450913,0.9997869726165286,0.5012172494375111,0.5736109950287012,0.5806246385193754,0.588321626654453
Star (last year's winner),,COMBINED,1000.0,1,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=16",81f381ea76cbd449,0.9473338071556788,0.1278159427765991,0.0343043823789299,0.9996799817173008,0.5129347379119208,0.66096009253904,0.6791105152833172,0.7040987305970573
Star (last year's winner),,COMBINED,1000.0,2,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=16",b2fbde4e366c28ba,0.942082609585809,0.1283917064647712,0.0342458371991502,0.9997583693326912,0.504307344617658,0.6532577553265111,0.6717638917212996,0.694334324027053
Star (last year's winner),,COMBINED,1000.0,3,dp_quantile,16,dp_quantile16/star,pgm_structure_sweep,"pgm@binning=dp_quantile,edge_estimator=threshold,epsilon=1000,n_bins=16",5edbfc40031bbedf,0.954177524065598,0.1275688242655243,0.0343685841305797,0.9999159442261072,0.5044691542105597,0.6511321656743013,0.6686918496775509,0.6931732399027805
